Breed,Rank_2018
Affenpinscher,148
Afghan Hound,113
Airedale Terrier,60
Akita,47
Alaskan Malamute,58
American English Coonhound,175
American Eskimo Dog,122
American Foxhound,186
American Hairless Terrier,136
American Staffordshire Terrier,85
American Water Spaniel,166
Anatolian Shepherd Dog,90
Australian Cattle Dog,55
Australian Shepherd,15
Australian Terrier,139
Basenji,87
Basset Hound,39
Beagle,6
Bearded Collie,127
Beauceron,124
Bedlington Terrier,141
Belgian Malinoi,43
Belgian Sheepdog,125
Belgian Tervuren,106
Bergamasco Sheepdog,187
Berger Picard,144
Bernese Mountain Dog,22
Bichons Frise,46
Black and Tan Coonhound,138
Black Russian Terrier,118
Bloodhound,49
Bluetick Coonhound,130
Boerboel,121
Border Collie,35
Border Terrier,88
Borzoi,103
Boston Terrier,21
Bouvier des Flandres,84
Boxer,11
Boykin Spaniel,100
Briard,132
Brittany,26
Brussels Griffon,98
Bull Terrier,62
Bulldog,5
Bullmastiff,51
Cairn Terrier,69
Canaan Dog,179
Cane Corso,32
Cardigan Welsh Corgi,68
Cavalier King Charles Spaniel,18
Cesky Terrier,185
Chesapeake Bay Retriever,45
Chihuahua,33
Chinese Crested,79
Chinese Shar-Pei,64
Chinook,190
Chow Chow,75
Cirnechi dellâ€™Etna,183
Clumber Spaniel,143
Cocker Spaniel,30
Collie,38
Coton de Tulear,81
Curly-Coated Retriever,162
Dachshund,12
Dalmatian,56
Dandie Dinmont Terrier,176
Doberman Pinscher,17
Dogue de Bordeaux,67
English Cocker Spaniel,52
English Foxhound,188
English Setter,94
English Springer Spaniel,27
English Toy Spaniel,135
Entlebucher Mountain Dog,157
Field Spaniel,149
Finnish Lapphund,161
Finnish Spitz,184
Flat-Coated Retriever,91
French Bulldog,4
German Pinscher,134
German Shepherd Dog,2
German Shorthaired Pointer,9
German Wirehaired Pointer,63
Giant Schnauzer,78
Glen of Imaal Terrier,174
Golden Retriever,3
Gordon Setter,115
Grand Basset Griffon Vendeen,177
Great Dane,16
Great Pyrenee,66
Greater Swiss Mountain Dog,74
Greyhound,145
Harrier,189
Havanese,24
Ibizan Hound,152
Icelandic Sheepdog,155
Irish Red and White Setter,146
Irish Setter,77
Irish Terrier,116
Irish Water Spaniel,159
Irish Wolfhound,76
Italian Greyhound,73
Japanese Chin,104
Keeshonden,95
Kerry Blue Terrier,129
Komondorok,173
Kuvaszok,163
Labrador Retriever,1
Lagotto Romagnolo,99
Lakeland Terrier,147
Leonberger,93
Lhasa Apso,71
Lowchen,168
Maltese,37
Manchester Terrier,133
Mastiff,29
Miniature American Shepherd,34
Miniature Bull Terrier,110
Miniature Pinscher,70
Miniature Schnauzer,19
Neapolitan Mastiff,102
Nederlandse Kooikerhondje,150
Newfoundland,40
Norfolk Terrier,126
Norwegian Buhund,165
Norwegian Elkhound,97
Norwegian Lundehund,191
Norwich Terrier,108
Nova Scotia Duck Tolling Retriever,83
Old English Sheepdog,72
Otterhound,182
Papillon,54
Parson Russell Terrier,117
Pekingese,92
Pembroke Welsh Corgi,13
Petit Basset Griffon Vendeen,156
Pharaoh Hound,172
Plott Hound,171
Pointer,114
Polish Lowland Sheepdog,170
Pomeranian,23
Poodle,7
Portuguese Podengo Pequeno,154
Portuguese Water Dog,50
Pug,28
Puli,160
Pumi,151
Pyrenean Shepherd,181
Rat Terrier,86
Redbone Coonhound,142
Rhodesian Ridgeback,41
Rottweiler,8
Russell Terrier,82
Saluki,120
Samoyed,59
Schipperke,105
Scottish Deerhound,158
Scottish Terrier,57
Sealyham Terrier,164
Shetland Sheepdog,25
Shiba Inu,44
Shih Tzu,20
Siberian Husky,14
Silky Terrier,112
Skye Terrier,178
Sloughi,192
Smooth Fox Terrier,123
Soft Coated Wheaten Terrier,53
Spanish Water Dog,153
Spinone Italiani,109
St. Bernard,48
Staffordshire Bull Terrier,80
Standard Schnauzer,89
Sussex Spaniel,180
Swedish Vallhund,169
Tibetan Mastiff,131
Tibetan Spaniel,119
Tibetan Terrier,96
Toy Fox Terrier,111
Treeing Walker Coonhound,137
Vizsla,31
Weimaraner,36
Welsh Springer Spaniel,128
Welsh Terrier,107
West Highland White Terrier,42
Whippet,61
Wire Fox Terrier,101
Wirehaired Pointing Griffon,65
Wirehaired Vizsla,167
Xoloitzcuintli,140
Yorkshire Terrier,10
