Breed, Rank_2020
Affenpinscher,163
Afghan Hound,122
Airedale Terrier,62
Akita,48
Alaskan Malamute,65
American English Coonhound,185
American Eskimo Dog,119
American Foxhound,192
American Hairless Terrier,129
American Staffordshire Terrier,82
Anatolian Shepherd Dog,85
Australian Cattle Dog,54
Australian Shepherd,12
Australian Terrier,134
Azawakh,193
Barbet,145
Basenji,86
Basset Hound,36
Beagle,7
Bearded Collie,125
Beauceron,121
Bedlington Terrier,141
Belgian Malinoi,37
Belgian Sheepdog,117
Belgian Tervuren,106
Bergamasco Sheepdog,173
Berger Picard,151
Bernese Mountain Dog,22
Bichons Frise,45
Black and Tan Coonhound,127
Black Russian Terrier,126
Bloodhound,46
Bluetick Coonhound,137
Boerboel,123
Border Collie,32
Border Terrier,97
Borzoi,103
Boston Terrier,21
Bouvier des Flandres,94
Boxer,14
Briard,150
Brittany,28
Brussels Griffon,89
Bull Terrier,64
Bulldog,5
Bullmastiff,55
Cairn Terrier,73
Canaan Dog,184
Cane Corso,25
Cardigan Welsh Corgi,66
Cavalier King Charles Spaniel,17
Cesky Terrier,191
Chihuahua,34
Chinese Crested,79
Chinese Shar-Pei,61
Chinook,186
Chow Chow,84
Cirnechi dellâ€™Etna,179
Collie,40
Coton de Tulear,80
Dachshund,10
Dalmatian,51
Dandie Dinmont Terrier,181
Doberman Pinscher,18
Dogo Argentino,93
Dogue de Bordeaux,71
English Foxhound,194
English Toy Spaniel,138
Entlebucher Mountain Dog,152
Finnish Lapphund,165
Finnish Spitz,187
Smooth Fox Terrier,124
Wire Fox Terrier,104
French Bulldog,2
German Pinscher,139
German Shepherd Dog,3
Giant Schnauzer,67
Glen of Imaal Terrier,169
Grand Basset Griffon Vendeen,188
Great Dane,15
Great Pyrenee,70
Greater Swiss Mountain Dog,76
Greyhound,142
Harrier,190
Havanese,24
Ibizan Hound,171
Icelandic Sheepdog,154
Irish Terrier,120
Irish Wolfhound,74
Italian Greyhound,69
Japanese Chin,111
Keeshonden,96
Kerry Blue Terrier,133
Komondorok,178
Kuvaszok,177
Lagotto Romagnolo,88
Lakeland Terrier,136
Leonberger,98
Lhasa Apso,78
Lowchen,161
Maltese,38
Manchester Terrier,132
Mastiff,33
Miniature American Shepherd,31
Miniature Bull Terrier,105
Miniature Pinscher,77
Miniature Schnauzer,19
Neapolitan Mastiff,100
Nederlandse Kooikerhondje,162
Newfoundland,41
Norfolk Terrier,130
Norwegian Buhund,168
Norwegian Elkhound,91
Norwegian Lundehund,195
Norwich Terrier,109
Old English Sheepdog,68
Otterhound,176
Papillon,53
Parson Russell Terrier,115
Pekingese,95
Pembroke Welsh Corgi,11
Petit Basset Griffon Vendeen,164
Pharaoh Hound,180
Plott Hound,167
Pointer,116
German Shorthaired Pointer,9
German Wirehaired Pointer,60
Polish Lowland Sheepdog,175
Pomeranian,23
Poodle,6
Portuguese Podengo Pequeno,157
Portuguese Water Dog,49
Pug,29
Puli,143
Pumi,156
Pyrenean Shepherd,182
Rat Terrier,83
Redbone Coonhound,146
Chesapeake Bay Retriever,50
Curly-Coated Retriever,159
Flat-Coated Retriever,102
Golden Retriever,4
Labrador Retriever,1
Nova Scotia Duck Tolling Retriever,90
Rhodesian Ridgeback,42
Rottweiler,8
Russell Terrier,72
Saluki,144
Samoyed,56
Schipperke,114
Scottish Deerhound,166
Scottish Terrier,57
Sealyham Terrier,148
English Setter,101
Gordon Setter,107
Irish Setter,75
Irish Red and White Setter,170
Shetland Sheepdog,27
Shiba Inu,43
Shih Tzu,20
Siberian Husky,16
Silky Terrier,108
Skye Terrier,183
Sloughi,189
Soft Coated Wheaten Terrier,58
American Water Spaniel,158
Boykin Spaniel,87
Clumber Spaniel,135
Cocker Spaniel,30
English Cocker Spaniel,47
English Springer Spaniel,26
Field Spaniel,160
Irish Water Spaniel,174
Sussex Spaniel,172
Welsh Springer Spaniel,128
Spanish Water Dog,149
Spinone Italiani,110
St. Bernard,52
Staffordshire Bull Terrier,81
Standard Schnauzer,92
Swedish Vallhund,147
Tibetan Mastiff,140
Tibetan Spaniel,118
Tibetan Terrier,99
Toy Fox Terrier,113
Treeing Walker Coonhound,153
Vizsla,35
Weimaraner,39
Welsh Terrier,112
West Highland White Terrier,44
Whippet,59
Wirehaired Pointing Griffon,63
Wirehaired Vizsla,155
Xoloitzcuintli,131
Yorkshire Terrier,13
