0,1,Rank,Breed
BREED,2018,,
Retrievers (Labrador),1,,
German Shepherd Dogs,2,,
Retrievers (Golden),3,,
French Bulldogs,4,,
Bulldogs,5,,
Beagles,6,,
Poodles,7,,
Rottweilers,8,,
Pointers (German Shorthaired),9,,
Yorkshire Terriers,10,,
Boxers,11,,
Dachshunds,12,,
Pembroke Welsh Corgis,13,,
Siberian Huskies,14,,
Australian Shepherds,15,,
Great Danes,16,,
Doberman Pinschers,17,,
Cavalier King Charles Spaniels,18,,
Miniature Schnauzers,19,,
Shih Tzu,20,,
Boston Terriers,21,,
Bernese Mountain Dogs,22,,
Pomeranians,23,,
Havanese,24,,
Shetland Sheepdogs,25,,
Brittanys,26,,
Spaniels (English Springer),27,,
Pugs,28,,
Mastiffs,29,,
Spaniels (Cocker),30,,
Vizslas,31,,
Cane Corso,32,,
Chihuahuas,33,,
Miniature American Shepherds,34,,
Border Collies,35,,
Weimaraners,36,,
Maltese,37,,
Collies,38,,
Basset Hounds,39,,
Newfoundlands,40,,
Rhodesian Ridgebacks,41,,
West Highland White Terriers,42,,
Belgian Malinois,43,,
Shiba Inu,44,,
Retrievers (Chesapeake Bay),45,,
Bichons Frises,46,,
Akitas,47,,
St. Bernards,48,,
Bloodhounds,49,,
Portuguese Water Dogs,50,,
Bullmastiffs,51,,
Spaniels (English Cocker),52,,
Soft Coated Wheaten Terriers,53,,
Papillons,54,,
Australian Cattle Dogs,55,,
Dalmatians,56,,
Scottish Terriers,57,,
Alaskan Malamutes,58,,
Samoyeds,59,,
Airedale Terriers,60,,
Whippets,61,,
Bull Terriers,62,,
Pointers (German Wirehaired),63,,
Chinese Shar-Pei,64,,
Wirehaired Pointing Griffons,65,,
Great Pyrenees,66,,
Dogues de Bordeaux,67,,
Cardigan Welsh Corgis,68,,
Cairn Terriers,69,,
Miniature Pinschers,70,,
Lhasa Apsos,71,,
Old English Sheepdogs,72,,
Italian Greyhounds,73,,
Greater Swiss Mountain Dogs,74,,
Chow Chows,75,,
Irish Wolfhounds,76,,
Setters (Irish),77,,
Giant Schnauzers,78,,
Chinese Crested,79,,
Staffordshire Bull Terriers,80,,
Coton de Tulear,81,,
Russell Terriers,82,,
Retrievers (Nova Scotia Duck Tolling),83,,
Bouviers des Flandres,84,,
American Staffordshire Terriers,85,,
Rat Terriers,86,,
Basenjis,87,,
Border Terriers,88,,
Standard Schnauzers,89,,
Anatolian Shepherd Dogs,90,,
Retrievers (Flat-Coated),91,,
Pekingese,92,,
Leonbergers,93,,
Setters (English),94,,
Keeshonden,95,,
Tibetan Terriers,96,,
Norwegian Elkhounds,97,,
Brussels Griffons,98,,
Lagotti Romagnoli,99,,
Spaniels (Boykin),100,,
Fox Terriers (Wire),101,,
Neapolitan Mastiffs,102,,
Borzois,103,,
Japanese Chin,104,,
Schipperkes,105,,
Belgian Tervuren,106,,
Welsh Terriers,107,,
Norwich Terriers,108,,
Spinoni Italiani,109,,
Miniature Bull Terriers,110,,
Toy Fox Terriers,111,,
Silky Terriers,112,,
Afghan Hounds,113,,
Pointers,114,,
Setters (Gordon),115,,
Irish Terriers,116,,
Parson Russell Terriers,117,,
Black Russian Terriers,118,,
Tibetan Spaniels,119,,
Salukis,120,,
Boerboels,121,,
American Eskimo Dogs,122,,
Fox Terriers (Smooth),123,,
Beaucerons,124,,
Belgian Sheepdogs,125,,
Norfolk Terriers,126,,
Bearded Collies,127,,
Spaniels (Welsh Springer),128,,
Kerry Blue Terriers,129,,
Bluetick Coonhounds,130,,
Tibetan Mastiffs,131,,
Briards,132,,
Manchester Terriers,133,,
German Pinschers,134,,
English Toy Spaniels,135,,
American Hairless Terriers,136,,
Treeing Walker Coonhounds,137,,
Black and Tan Coonhounds,138,,
Australian Terriers,139,,
Xoloitzcuintli,140,,
Bedlington Terriers,141,,
Redbone Coonhounds,142,,
Spaniels (Clumber),143,,
Berger Picards,144,,
Greyhounds,145,,
Setters (Irish Red and White),146,,
Lakeland Terriers,147,,
Affenpinschers,148,,
Spaniels (Field),149,,
Nederlandse Kooikerhondjes,150,,
Pumik,151,,
Ibizan Hounds,152,,
Spanish Water Dogs,153,,
Portuguese Podengo Pequenos,154,,
Icelandic Sheepdogs,155,,
Petits Bassets Griffons Vendeens,156,,
Entlebucher Mountain Dogs,157,,
Scottish Deerhounds,158,,
Spaniels (Irish Water),159,,
Pulik,160,,
Finnish Lapphunds,161,,
Retrievers (Curly-Coated),162,,
Kuvaszok,163,,
Sealyham Terriers,164,,
Norwegian Buhunds,165,,
Spaniels (American Water),166,,
Wirehaired Vizslas,167,,
Lowchen,168,,
Swedish Vallhunds,169,,
Polish Lowland Sheepdogs,170,,
Plotts,171,,
Pharaoh Hounds,172,,
Komondorok,173,,
Glen of Imaal Terriers,174,,
American English Coonhounds,175,,
Dandie Dinmont Terriers,176,,
Grand Basset Griffon Vendeens,177,,
Skye Terriers,178,,
Canaan Dogs,179,,
Spaniels (Sussex),180,,
Pyrenean Shepherds,181,,
Otterhounds,182,,
Cirnechi dell’Etna,183,,
Finnish Spitz,184,,
Cesky Terriers,185,,
American Foxhounds,186,,
Bergamasco Sheepdogs,187,,
English Foxhounds,188,,
Harriers,189,,
Chinooks,190,,
Norwegian Lundehunds,191,,
Sloughis,192,,
Breed,Rank,,
Retrievers (Labrador),1,,
German Shepherd Dogs,2,,
Retrievers (Golden),3,,
French Bulldogs,4,,
Bulldogs,5,,
Poodles,6,,
Beagles,7,,
Rottweilers,8,,
Pointers (German Shorthaired),9,,
Pembroke Welsh Corgis,10,,
Dachshunds,11,,
Yorkshire Terriers,12,,
Australian Shepherds,13,,
Boxers,14,,
Siberian Huskies,15,,
Cavalier King Charles Spaniels,16,,
Great Danes,17,,
Miniature Schnauzers,18,,
Doberman Pinschers,19,,
Shih Tzu,20,,
Boston Terriers,21,,
Havanese,22,,
Bernese Mountain Dogs,23,,
Pomeranians,24,,
Shetland Sheepdogs,25,,
Brittanys,26,,
